id,image_path,packet_json,answer_json
corr_024610c817beddfe,images/corr_024610c817beddfe.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r02_c01"",""r02_c02"",""r03_c01"",""r03_c02"",""r03_c03"",""r03_c04"",""r03_c05"",""r04_c02"",""r04_c03"",""r04_c04"",""r04_c05""],""area_bins"":{""fair"":5,""poor"":0,""severe"":0},""fair_cells"":[""r02_c01"",""r02_c02"",""r03_c01"",""r03_c02"",""r03_c03"",""r03_c04"",""r03_c05"",""r04_c02"",""r04_c03"",""r04_c04"",""r04_c05""],""poor_cells"":[],""row_condition_profile"":[0,0,1,1,1,0,0,0],""severe_cells"":[]}"
corr_0361811cda5dda7a,images/corr_0361811cda5dda7a.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r00_c02"",""r00_c03"",""r00_c04"",""r00_c05"",""r00_c06"",""r00_c07"",""r01_c02"",""r01_c03"",""r01_c04"",""r01_c05"",""r01_c06"",""r01_c07"",""r02_c03"",""r02_c04"",""r02_c05"",""r02_c06"",""r02_c07"",""r03_c05"",""r03_c06"",""r03_c07"",""r04_c06"",""r04_c07""],""area_bins"":{""fair"":9,""poor"":6,""severe"":0},""fair_cells"":[""r00_c04"",""r00_c05"",""r00_c06"",""r00_c07"",""r01_c02"",""r01_c03"",""r01_c04"",""r01_c05"",""r01_c06"",""r01_c07"",""r02_c03"",""r02_c04"",""r02_c05"",""r02_c06"",""r02_c07"",""r03_c05"",""r03_c06"",""r03_c07"",""r04_c06"",""r04_c07""],""poor_cells"":[""r00_c02"",""r00_c03"",""r00_c04"",""r00_c05"",""r01_c02"",""r01_c03"",""r01_c04"",""r01_c05""],""row_condition_profile"":[4,4,1,1,1,0,0,0],""severe_cells"":[]}"
corr_036b1c0baebdff21,images/corr_036b1c0baebdff21.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r00_c00"",""r00_c01"",""r00_c02"",""r00_c03"",""r00_c04"",""r00_c05"",""r00_c06"",""r00_c07"",""r01_c00"",""r01_c01"",""r01_c02"",""r01_c03"",""r01_c04"",""r01_c05"",""r01_c06"",""r01_c07"",""r02_c00"",""r02_c01"",""r02_c02"",""r02_c03"",""r02_c04"",""r02_c05"",""r02_c06"",""r02_c07"",""r03_c00"",""r03_c01"",""r03_c02"",""r03_c03"",""r03_c04"",""r03_c05"",""r03_c06"",""r03_c07"",""r04_c00"",""r04_c01"",""r04_c02"",""r04_c03"",""r04_c04"",""r04_c05"",""r04_c06"",""r04_c07"",""r05_c00"",""r05_c01"",""r05_c02"",""r05_c03"",""r05_c04"",""r05_c05"",""r05_c06""],""area_bins"":{""fair"":9,""poor"":9,""severe"":0},""fair_cells"":[""r00_c00"",""r00_c01"",""r00_c02"",""r00_c03"",""r00_c04"",""r00_c05"",""r00_c06"",""r00_c07"",""r01_c00"",""r01_c01"",""r01_c02"",""r01_c03"",""r01_c04"",""r01_c05"",""r01_c06"",""r01_c07"",""r02_c00"",""r02_c01"",""r02_c02"",""r02_c03"",""r02_c04"",""r02_c05"",""r02_c06"",""r02_c07"",""r03_c00"",""r03_c01"",""r03_c02"",""r03_c03"",""r03_c04"",""r03_c05"",""r03_c06"",""r03_c07"",""r04_c00"",""r04_c01"",""r04_c02"",""r04_c03"",""r04_c04"",""r04_c06"",""r04_c07"",""r05_c02"",""r05_c03"",""r05_c04""],""poor_cells"":[""r00_c05"",""r00_c06"",""r00_c07"",""r01_c01"",""r01_c05"",""r01_c06"",""r01_c07"",""r02_c00"",""r02_c01"",""r02_c02"",""r02_c04"",""r02_c05"",""r03_c01"",""r03_c03"",""r03_c04"",""r03_c05"",""r03_c06"",""r04_c00"",""r04_c01"",""r04_c02"",""r04_c03"",""r04_c04"",""r04_c05"",""r04_c06"",""r04_c07"",""r05_c00"",""r05_c01"",""r05_c05"",""r05_c06""],""row_condition_profile"":[4,4,4,4,4,4,0,0],""severe_cells"":[]}"
corr_03732faf6f7051dc,images/corr_03732faf6f7051dc.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r00_c00"",""r00_c01"",""r00_c02"",""r00_c04"",""r00_c05"",""r00_c06"",""r00_c07"",""r01_c00"",""r01_c01"",""r01_c02"",""r01_c03"",""r01_c04"",""r01_c05"",""r01_c06"",""r01_c07"",""r02_c00"",""r02_c01"",""r02_c02"",""r02_c03"",""r02_c04"",""r02_c05"",""r02_c06"",""r02_c07"",""r03_c00"",""r03_c01"",""r03_c02"",""r03_c03"",""r03_c04"",""r03_c05"",""r03_c06"",""r03_c07"",""r04_c00"",""r04_c01"",""r04_c02"",""r04_c03"",""r04_c04"",""r04_c05"",""r04_c06"",""r04_c07"",""r05_c00"",""r05_c01"",""r05_c02"",""r05_c03"",""r05_c04"",""r05_c05"",""r05_c06"",""r06_c00"",""r06_c01"",""r06_c02"",""r06_c03"",""r06_c04"",""r06_c05"",""r06_c06""],""area_bins"":{""fair"":9,""poor"":7,""severe"":0},""fair_cells"":[""r00_c00"",""r00_c01"",""r00_c02"",""r00_c04"",""r00_c05"",""r00_c06"",""r00_c07"",""r01_c00"",""r01_c01"",""r01_c02"",""r01_c03"",""r01_c04"",""r01_c05"",""r01_c06"",""r01_c07"",""r02_c00"",""r02_c01"",""r02_c02"",""r02_c03"",""r02_c04"",""r02_c05"",""r02_c06"",""r02_c07"",""r03_c00"",""r03_c01"",""r03_c02"",""r03_c03"",""r03_c04"",""r03_c05"",""r03_c06"",""r03_c07"",""r04_c00"",""r04_c01"",""r04_c02"",""r04_c03"",""r04_c04"",""r04_c05"",""r04_c06"",""r04_c07"",""r05_c02"",""r05_c03"",""r05_c04"",""r05_c05"",""r05_c06"",""r06_c04"",""r06_c06""],""poor_cells"":[""r04_c00"",""r05_c00"",""r05_c01"",""r05_c02"",""r05_c03"",""r06_c00"",""r06_c01"",""r06_c02"",""r06_c03"",""r06_c04"",""r06_c05""],""row_condition_profile"":[1,1,1,1,4,4,4,0],""severe_cells"":[]}"
corr_038e179299829e5a,images/corr_038e179299829e5a.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r00_c07"",""r01_c04"",""r01_c05"",""r01_c06"",""r01_c07"",""r02_c03"",""r02_c04"",""r02_c05"",""r02_c06"",""r02_c07"",""r03_c06"",""r03_c07"",""r04_c06"",""r04_c07"",""r05_c03"",""r05_c04"",""r05_c05"",""r05_c06"",""r06_c03"",""r06_c04"",""r06_c05"",""r06_c06""],""area_bins"":{""fair"":8,""poor"":0,""severe"":0},""fair_cells"":[""r00_c07"",""r01_c04"",""r01_c05"",""r01_c06"",""r01_c07"",""r02_c03"",""r02_c04"",""r02_c05"",""r02_c06"",""r02_c07"",""r03_c06"",""r03_c07"",""r04_c06"",""r04_c07"",""r05_c03"",""r05_c04"",""r05_c05"",""r05_c06"",""r06_c03"",""r06_c04"",""r06_c05"",""r06_c06""],""poor_cells"":[],""row_condition_profile"":[1,1,1,1,1,1,1,0],""severe_cells"":[]}"
corr_03a215b7fb8d09e1,images/corr_03a215b7fb8d09e1.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r00_c00"",""r00_c01"",""r00_c02"",""r00_c03"",""r00_c04"",""r01_c00"",""r01_c01"",""r01_c02"",""r01_c03"",""r01_c04"",""r02_c00"",""r02_c01"",""r02_c02"",""r02_c03"",""r02_c04"",""r03_c00"",""r03_c01"",""r03_c02"",""r03_c03"",""r03_c04"",""r04_c00"",""r04_c01"",""r04_c02"",""r04_c03"",""r04_c04"",""r05_c00"",""r05_c01"",""r05_c02"",""r05_c03"",""r05_c04"",""r05_c05"",""r06_c03"",""r06_c04""],""area_bins"":{""fair"":9,""poor"":6,""severe"":6},""fair_cells"":[""r00_c00"",""r00_c01"",""r00_c02"",""r00_c03"",""r00_c04"",""r01_c00"",""r01_c01"",""r01_c02"",""r01_c03"",""r01_c04"",""r02_c00"",""r02_c01"",""r02_c02"",""r02_c03"",""r02_c04"",""r03_c00"",""r03_c01"",""r03_c02"",""r03_c03"",""r04_c00"",""r04_c03""],""poor_cells"":[""r00_c04"",""r01_c04"",""r02_c01"",""r02_c02"",""r02_c04"",""r03_c00"",""r03_c01"",""r03_c02"",""r03_c03"",""r03_c04"",""r04_c00"",""r04_c04"",""r05_c03"",""r05_c04"",""r05_c05"",""r06_c03"",""r06_c04""],""row_condition_profile"":[4,4,4,4,4,4,2,0],""severe_cells"":[""r03_c00"",""r03_c01"",""r03_c02"",""r04_c00"",""r04_c01"",""r04_c02"",""r05_c00"",""r05_c01"",""r05_c02"",""r05_c03""]}"
corr_03b0f82de0e90dbc,images/corr_03b0f82de0e90dbc.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r00_c00"",""r00_c01"",""r00_c02"",""r00_c03"",""r00_c04"",""r01_c01"",""r01_c02"",""r01_c03"",""r01_c04"",""r02_c01"",""r02_c02"",""r02_c03"",""r03_c01"",""r03_c02"",""r04_c01"",""r04_c02"",""r05_c01"",""r06_c01""],""area_bins"":{""fair"":3,""poor"":5,""severe"":8},""fair_cells"":[""r04_c01"",""r05_c01"",""r06_c01""],""poor_cells"":[""r01_c01"",""r01_c02"",""r02_c01"",""r02_c02"",""r03_c01"",""r03_c02"",""r04_c01"",""r04_c02""],""row_condition_profile"":[3,4,4,4,4,1,1,0],""severe_cells"":[""r00_c00"",""r00_c01"",""r00_c02"",""r00_c03"",""r00_c04"",""r01_c01"",""r01_c02"",""r01_c03"",""r01_c04"",""r02_c02"",""r02_c03"",""r03_c02""]}"
corr_03f8ea7cf9a93dc0,images/corr_03f8ea7cf9a93dc0.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r00_c00"",""r00_c01"",""r01_c00"",""r01_c01"",""r02_c00"",""r02_c01"",""r02_c02"",""r02_c03"",""r03_c02"",""r03_c03""],""area_bins"":{""fair"":0,""poor"":6,""severe"":0},""fair_cells"":[],""poor_cells"":[""r00_c00"",""r00_c01"",""r01_c00"",""r01_c01"",""r02_c00"",""r02_c01"",""r02_c02"",""r02_c03"",""r03_c02"",""r03_c03""],""row_condition_profile"":[2,2,2,2,0,0,0,0],""severe_cells"":[]}"
corr_04217c0d5a6e2551,images/corr_04217c0d5a6e2551.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r00_c05"",""r00_c06"",""r00_c07"",""r01_c03"",""r01_c04"",""r01_c05"",""r01_c06"",""r01_c07"",""r02_c02"",""r02_c03"",""r02_c04"",""r02_c05"",""r02_c06"",""r02_c07"",""r03_c02"",""r03_c03"",""r03_c04"",""r03_c05"",""r03_c06"",""r03_c07"",""r04_c00"",""r04_c01"",""r04_c02"",""r04_c03"",""r04_c04"",""r04_c05"",""r04_c06"",""r04_c07"",""r05_c00"",""r05_c01"",""r05_c02"",""r05_c03"",""r05_c04"",""r05_c05"",""r05_c06"",""r05_c07"",""r06_c00"",""r06_c01"",""r06_c02"",""r06_c03"",""r06_c04"",""r06_c05"",""r06_c06"",""r06_c07""],""area_bins"":{""fair"":8,""poor"":9,""severe"":0},""fair_cells"":[""r00_c05"",""r00_c06"",""r00_c07"",""r01_c05"",""r01_c06"",""r02_c02"",""r02_c03"",""r02_c04"",""r02_c05"",""r02_c06"",""r02_c07"",""r03_c02"",""r03_c03"",""r03_c04"",""r03_c05"",""r04_c00"",""r04_c01"",""r04_c02"",""r04_c03"",""r04_c04"",""r05_c00"",""r05_c01"",""r06_c00""],""poor_cells"":[""r00_c06"",""r00_c07"",""r01_c03"",""r01_c04"",""r01_c05"",""r01_c06"",""r01_c07"",""r02_c03"",""r02_c04"",""r02_c05"",""r02_c06"",""r02_c07"",""r03_c03"",""r03_c04"",""r03_c05"",""r03_c06"",""r03_c07"",""r04_c02"",""r04_c03"",""r04_c04"",""r04_c05"",""r04_c06"",""r04_c07"",""r05_c00"",""r05_c01"",""r05_c02"",""r05_c03"",""r05_c04"",""r05_c05"",""r05_c06"",""r05_c07"",""r06_c00"",""r06_c01"",""r06_c02"",""r06_c03"",""r06_c04"",""r06_c05"",""r06_c06"",""r06_c07""],""row_condition_profile"":[4,4,4,4,4,4,4,0],""severe_cells"":[]}"
corr_04dd0926a38ce2de,images/corr_04dd0926a38ce2de.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r03_c00"",""r03_c04"",""r04_c00"",""r04_c04"",""r05_c00"",""r05_c04"",""r06_c00""],""area_bins"":{""fair"":3,""poor"":3,""severe"":0},""fair_cells"":[""r03_c04"",""r04_c04"",""r05_c04""],""poor_cells"":[""r03_c00"",""r04_c00"",""r05_c00"",""r06_c00""],""row_condition_profile"":[0,0,0,4,4,4,2,0],""severe_cells"":[]}"
corr_0519f77461e34384,images/corr_0519f77461e34384.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r00_c00"",""r00_c01"",""r01_c00"",""r01_c01"",""r01_c02"",""r02_c00"",""r02_c01"",""r02_c02"",""r03_c00"",""r03_c01"",""r03_c02"",""r03_c03"",""r04_c00"",""r04_c01"",""r04_c02"",""r04_c03"",""r05_c00"",""r05_c01"",""r05_c02"",""r06_c00"",""r06_c01"",""r06_c02""],""area_bins"":{""fair"":4,""poor"":9,""severe"":0},""fair_cells"":[""r00_c00"",""r00_c01"",""r01_c00"",""r01_c01"",""r01_c02"",""r02_c00""],""poor_cells"":[""r01_c00"",""r01_c01"",""r01_c02"",""r02_c00"",""r02_c01"",""r02_c02"",""r03_c00"",""r03_c01"",""r03_c02"",""r03_c03"",""r04_c00"",""r04_c01"",""r04_c02"",""r04_c03"",""r05_c00"",""r05_c01"",""r05_c02"",""r06_c00"",""r06_c01"",""r06_c02""],""row_condition_profile"":[1,4,4,2,2,2,2,0],""severe_cells"":[]}"
corr_052ea4b06fc084a1,images/corr_052ea4b06fc084a1.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r00_c00"",""r00_c01"",""r01_c00"",""r01_c01"",""r02_c00"",""r02_c01"",""r02_c02"",""r02_c03"",""r02_c04"",""r02_c05"",""r03_c00"",""r03_c02"",""r03_c03"",""r03_c04"",""r04_c00"",""r05_c00"",""r06_c00"",""r06_c01""],""area_bins"":{""fair"":7,""poor"":5,""severe"":0},""fair_cells"":[""r00_c00"",""r00_c01"",""r01_c01"",""r02_c00"",""r02_c01"",""r02_c02"",""r02_c03"",""r02_c04"",""r02_c05"",""r03_c00"",""r03_c02"",""r03_c03"",""r03_c04""],""poor_cells"":[""r00_c00"",""r01_c00"",""r01_c01"",""r02_c00"",""r03_c00"",""r04_c00"",""r05_c00"",""r06_c00"",""r06_c01""],""row_condition_profile"":[4,4,4,4,2,2,2,0],""severe_cells"":[]}"
corr_0585fb11bf77ad01,images/corr_0585fb11bf77ad01.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r00_c00"",""r00_c01"",""r01_c00"",""r01_c01"",""r02_c00"",""r02_c01"",""r02_c02"",""r03_c00"",""r03_c01"",""r03_c02"",""r04_c01"",""r04_c02""],""area_bins"":{""fair"":7,""poor"":4,""severe"":0},""fair_cells"":[""r00_c00"",""r00_c01"",""r01_c00"",""r01_c01"",""r02_c00"",""r02_c01"",""r02_c02"",""r03_c00"",""r03_c01"",""r03_c02"",""r04_c01""],""poor_cells"":[""r03_c00"",""r03_c01"",""r03_c02"",""r04_c01"",""r04_c02""],""row_condition_profile"":[1,1,1,4,4,0,0,0],""severe_cells"":[]}"
corr_05959f4e74a09eb8,images/corr_05959f4e74a09eb8.jpg,"{""condition_states"":[""fair"",""poor"",""severe""],""grid_shape"":[8,8],""image_size"":[288,288]}","{""affected_cells"":[""r00_c00"",""r00_c01"",""r00_c02"",""r00_c03"",""r01_c00"",""r01_c01"",""r01_c02"",""r02_c00"",""r02_c01"",""r02_c03"",""r03_c03"",""r03_c04""],""area_bins"":{""fair"":5,""poor"":5,""severe"":0},""fair_cells"":[""r00_c00"",""r00_c01"",""r00_c02"",""r00_c03"",""r01_c00"",""r01_c01"",""r01_c02"",""r02_c03"",""r03_c03"",""r03_c04""],""poor_cells"":[""r00_c00"",""r00_c01"",""r01_c00"",""r01_c01"",""r02_c00"",""r02_c01""],""row_condition_profile"":[4,4,4,1,0,0,0,0],""severe_cells"":[]}"
